step,coverage,avg_rmse
85,0.031875,23.931884416427422
86,0.031875,23.931884416427422
87,0.0325,23.931884416427422
88,0.0325,23.931884416427422
89,0.0325,23.931884416427422
90,0.0325,23.931884416427422
91,0.0325,14.778992676665894
92,0.0325,14.778992676665894
93,0.0325,14.778992676665894
94,0.0325,14.778992676665894
95,0.033125,14.778992676665894
96,0.033125,14.778992676665894
97,0.033125,14.778992676665894
98,0.03375,14.778992676665894
99,0.03375,14.778992676665894
100,0.03375,14.778992676665894
101,0.03375,14.778992676665894
102,0.03375,14.778992676665894
103,0.034375,14.778992676665894
104,0.034375,14.778992676665894
105,0.034375,5.444898146076373
106,0.035625,5.4485082214592575
107,0.035625,5.4485082214592575
108,0.035625,5.4485082214592575
109,0.035625,5.4485082214592575
110,0.03625,5.4485082214592575
111,0.036875,5.4485082214592575
112,0.036875,5.4485082214592575
113,0.0375,5.4485082214592575
114,0.0375,5.4485082214592575
115,0.0375,5.4485082214592575
116,0.0375,5.4485082214592575
117,0.03875,5.4485082214592575
118,0.04,5.4485082214592575
119,0.04,5.4485082214592575
120,0.040625,5.4485082214592575
121,0.040625,5.4485082214592575
122,0.04125,5.4485082214592575
123,0.041875,5.4485082214592575
124,0.0425,5.4485082214592575
125,0.0425,5.4485082214592575
126,0.0425,5.4485082214592575
127,0.04375,5.4485082214592575
128,0.044375,5.4485082214592575
129,0.044375,5.4485082214592575
130,0.044375,5.4485082214592575
131,0.045,5.4485082214592575
132,0.045,5.4485082214592575
133,0.04625,5.4485082214592575
134,0.04625,5.4485082214592575
135,0.04625,5.4485082214592575
136,0.04625,5.4485082214592575
137,0.04625,5.4485082214592575
138,0.046875,5.4485082214592575
139,0.0475,5.4485082214592575
140,0.048125,5.4485082214592575
141,0.048125,5.4485082214592575
142,0.048125,5.4485082214592575
143,0.04875,5.4485082214592575
144,0.04875,5.4485082214592575
145,0.04875,5.4485082214592575
146,0.049375,5.4485082214592575
147,0.05,5.4485082214592575
148,0.05,5.4485082214592575
149,0.050625,5.4485082214592575
150,0.050625,5.4485082214592575
151,0.050625,5.4485082214592575
152,0.050625,5.4485082214592575
153,0.05125,5.4485082214592575
154,0.051875,5.4485082214592575
155,0.051875,5.4485082214592575
156,0.051875,5.4485082214592575
157,0.0525,5.4485082214592575
158,0.0525,5.4485082214592575
159,0.0525,5.4485082214592575
160,0.0525,5.4485082214592575
161,0.053125,5.4485082214592575
162,0.053125,5.4485082214592575
163,0.053125,5.4485082214592575
164,0.053125,5.4485082214592575
165,0.053125,5.4485082214592575
166,0.053125,5.4485082214592575
167,0.054375,5.4485082214592575
168,0.055,5.4485082214592575
169,0.055,5.4485082214592575
170,0.055,5.4485082214592575
171,0.055,5.4485082214592575
172,0.055625,5.4485082214592575
173,0.055625,5.4485082214592575
174,0.05625,5.4448866861053515
175,0.05625,5.4448866861053515
176,0.056875,5.4448866861053515
177,0.0575,5.4448866861053515
178,0.0575,5.4448866861053515
179,0.0575,5.4448866861053515
180,0.0575,5.4448866861053515
181,0.058125,5.4448866861053515
182,0.05875,5.4448866861053515
183,0.059375,5.4448866861053515
184,0.059375,5.4448866861053515
185,0.059375,5.4448866861053515
186,0.059375,5.4448866861053515
187,0.06,5.4448866861053515
188,0.060625,5.4448866861053515
189,0.060625,5.4448866861053515
190,0.06125,5.4448866861053515
191,0.06125,5.4448866861053515
192,0.061875,5.4448866861053515
193,0.061875,5.4448866861053515
194,0.061875,5.4448866861053515
195,0.0625,5.4448866861053515
196,0.0625,5.4448866861053515
197,0.063125,5.4448866861053515
198,0.06375,5.4448866861053515
199,0.06375,5.4448866861053515
200,0.06375,5.4448866861053515
201,0.064375,5.4448866861053515
202,0.064375,5.4448866861053515
203,0.065,5.4448866861053515
204,0.065,5.4448866861053515
205,0.065625,5.4448866861053515
206,0.06625,5.4448866861053515
207,0.06625,5.4448866861053515
208,0.066875,5.4448866861053515
209,0.066875,5.4448866861053515
210,0.066875,5.4448866861053515
211,0.0675,5.4448866861053515
212,0.068125,5.4448866861053515
213,0.06875,5.4448866861053515
214,0.06875,5.4448866861053515
215,0.069375,5.4448866861053515
216,0.07,5.4448866861053515
217,0.07,5.4448866861053515
218,0.07,5.4448866861053515
219,0.07,5.4448866861053515
220,0.07,5.4448866861053515
221,0.07125,5.4448866861053515
222,0.07125,5.4448866861053515
223,0.071875,5.4448866861053515
224,0.071875,5.4448866861053515
225,0.071875,5.4448866861053515
226,0.0725,5.4448866861053515
227,0.0725,5.4448866861053515
228,0.0725,5.362825455034122
229,0.0725,5.362825455034122
230,0.073125,5.362825455034122
231,0.07375,5.362825455034122
232,0.07375,5.362825455034122
233,0.074375,5.362825455034122
234,0.074375,5.362825455034122
235,0.074375,5.362825455034122
236,0.075,5.362825455034122
237,0.075,5.362825455034122
238,0.075,5.362825455034122
239,0.075625,5.362825455034122
240,0.075625,5.362825455034122
241,0.075625,5.362825455034122
242,0.075625,5.362825455034122
243,0.07625,5.362825455034122
244,0.07625,5.362825455034122
245,0.07625,5.362825455034122
246,0.07625,5.362825455034122
247,0.07625,5.362825455034122
248,0.07625,5.362825455034122
249,0.07625,5.362825455034122
250,0.07625,5.362825455034122
251,0.07625,5.353990280120379
252,0.07625,5.353990280120379
253,0.07625,5.353990280120379
254,0.07625,5.353990280120379
255,0.07625,5.353990280120379
256,0.07625,5.353990280120379
257,0.07625,5.353990280120379
258,0.076875,5.353990280120379
259,0.076875,5.353990280120379
260,0.076875,5.353990280120379
261,0.076875,5.353990280120379
262,0.076875,5.353990280120379
263,0.076875,5.353990280120379
264,0.076875,5.353990280120379
265,0.076875,5.353990280120379
266,0.076875,5.353990280120379
267,0.076875,5.353990280120379
268,0.076875,5.353990280120379
269,0.076875,5.353990280120379
270,0.076875,5.353990280120379
271,0.076875,5.353990280120379
272,0.076875,5.353990280120379
273,0.076875,5.353990280120379
274,0.076875,5.353990280120379
275,0.0775,5.353990280120379
276,0.0775,5.353990280120379
277,0.078125,5.353990280120379
278,0.078125,5.353990280120379
279,0.078125,5.353990280120379
280,0.07875,5.353990280120379
281,0.07875,5.353990280120379
282,0.07875,5.353990280120379
283,0.079375,5.353990280120379
284,0.08,5.353990280120379
285,0.08,5.353990280120379
286,0.08,5.353990280120379
287,0.080625,5.353990280120379
288,0.080625,5.353990280120379
289,0.080625,5.353990280120379
290,0.08125,5.353990280120379
291,0.08125,5.353990280120379
292,0.08125,5.353990280120379
293,0.081875,5.353990280120379
294,0.081875,5.353990280120379
295,0.0825,5.353990280120379
296,0.083125,5.353990280120379
297,0.083125,5.353990280120379
298,0.08375,5.353990280120379
299,0.08375,5.353990280120379
300,0.08375,5.353990280120379
301,0.08375,5.280760103055066
302,0.08375,5.280760103055066
303,0.085,5.280760103055066
304,0.085,5.280760103055066
305,0.085625,5.280760103055066
306,0.085625,5.280760103055066
307,0.085625,5.280760103055066
308,0.08625,5.280760103055066
309,0.0875,5.280760103055066
310,0.0875,5.280760103055066
311,0.088125,5.280760103055066
312,0.088125,5.280760103055066
313,0.089375,5.280760103055066
314,0.09,5.280760103055066
315,0.09,5.280760103055066
316,0.090625,5.280760103055066
317,0.090625,5.280760103055066
318,0.09125,5.280760103055066
319,0.0925,5.280760103055066
320,0.0925,5.280760103055066
321,0.0925,5.280760103055066
322,0.0925,5.280760103055066
323,0.09375,5.280760103055066
324,0.094375,5.280760103055066
325,0.094375,5.280760103055066
326,0.094375,5.280760103055066
327,0.094375,5.280760103055066
328,0.095625,5.280760103055066
329,0.09625,5.280760103055066
330,0.096875,5.280760103055066
331,0.096875,5.280760103055066
332,0.096875,5.280760103055066
333,0.0975,5.280760103055066
334,0.098125,5.280760103055066
335,0.098125,5.280760103055066
336,0.098125,5.280760103055066
337,0.098125,5.280760103055066
338,0.09875,5.280760103055066
339,0.099375,5.280760103055066
340,0.099375,5.280760103055066
341,0.099375,5.280760103055066
342,0.1,5.280760103055066
343,0.100625,5.280760103055066
344,0.100625,5.280760103055066
345,0.10125,5.280760103055066
346,0.101875,5.280760103055066
347,0.101875,5.280760103055066
348,0.1025,5.280760103055066
349,0.1025,5.280760103055066
350,0.1025,5.280760103055066
351,0.1025,5.280760103055066
352,0.1025,5.280760103055066
353,0.103125,5.280760103055066
354,0.103125,5.215763254093292
355,0.10375,5.215763254093292
356,0.10375,5.215763254093292
357,0.10375,5.215763254093292
358,0.104375,5.215763254093292
359,0.104375,5.215763254093292
360,0.104375,5.215763254093292
361,0.104375,5.215763254093292
362,0.104375,5.215763254093292
363,0.105,5.215763254093292
364,0.105625,5.215763254093292
365,0.10625,5.215763254093292
366,0.10625,5.215763254093292
367,0.10625,5.215763254093292
368,0.106875,5.215763254093292
369,0.106875,5.182875038928889
370,0.1075,5.182875038928889
371,0.1075,5.182875038928889
372,0.1075,5.182875038928889
373,0.108125,5.182875038928889
374,0.108125,5.182875038928889
375,0.10875,5.182875038928889
376,0.10875,5.182875038928889
377,0.10875,5.182875038928889
378,0.109375,5.182875038928889
379,0.109375,5.182875038928889
380,0.11,5.182875038928889
381,0.11,5.182875038928889
382,0.11,5.182875038928889
383,0.110625,5.182875038928889
384,0.110625,5.177288728553151
385,0.11125,5.177288728553151
386,0.11125,5.177288728553151
387,0.11125,5.177288728553151
388,0.111875,5.177288728553151
389,0.111875,5.177288728553151
390,0.1125,5.177288728553151
391,0.1125,5.177288728553151
392,0.1125,5.177288728553151
393,0.113125,5.17187130608421
394,0.113125,5.17187130608421
395,0.113125,5.17187130608421
396,0.113125,5.17187130608421
397,0.113125,5.17187130608421
398,0.11375,5.17187130608421
399,0.11375,5.17187130608421
400,0.11375,5.17187130608421
401,0.11375,5.17187130608421
402,0.11375,5.17187130608421
403,0.114375,5.166825956869265
404,0.114375,5.166825956869265
405,0.115,5.166825956869265
406,0.115,5.166825956869265
407,0.115,5.166825956869265
408,0.115,5.166825956869265
409,0.115,5.166825956869265
410,0.115,5.166825956869265
411,0.115,5.166825956869265
412,0.115,5.166825956869265
413,0.115625,5.166825956869265
414,0.115625,5.166825956869265
415,0.11625,5.166825956869265
416,0.11625,5.166825956869265
417,0.11625,5.166825956869265
418,0.116875,5.166825956869265
419,0.116875,5.166825956869265
420,0.1175,5.166825956869265
421,0.1175,5.166825956869265
422,0.1175,5.166825956869265
423,0.118125,5.166825956869265
424,0.118125,5.166825956869265
425,0.118125,5.166825956869265
426,0.118125,5.166825956869265
427,0.118125,5.166825956869265
428,0.11875,5.166825956869265
429,0.11875,5.166825956869265
430,0.119375,5.166825956869265
431,0.119375,5.166825956869265
432,0.119375,5.166825956869265
433,0.12,5.166825956869265
434,0.12,5.166825956869265
435,0.120625,5.166825956869265
436,0.120625,5.166825956869265
437,0.120625,5.166825956869265
438,0.12125,5.166825956869265
439,0.121875,5.166825956869265
440,0.1225,5.166825956869265
441,0.1225,5.166825956869265
442,0.1225,5.166825956869265
443,0.1225,5.166825956869265
444,0.123125,5.166825956869265
445,0.12375,5.166825956869265
446,0.12375,5.166825956869265
447,0.12375,5.166825956869265
448,0.12375,5.166825956869265
449,0.12375,5.166825956869265
450,0.124375,5.166825956869265
451,0.124375,5.166825956869265
452,0.124375,5.166825956869265
453,0.124375,5.166825956869265
454,0.125,5.166825956869265
455,0.125625,5.166825956869265
456,0.125625,5.166825956869265
457,0.12625,5.166825956869265
458,0.12625,5.166825956869265
459,0.1275,5.166825956869265
460,0.128125,5.166825956869265
461,0.128125,5.166825956869265
462,0.128125,5.166825956869265
463,0.128125,5.166825956869265
464,0.12875,5.166825956869265
465,0.129375,5.166825956869265
466,0.129375,5.166825956869265
467,0.129375,5.166825956869265
468,0.129375,5.166825956869265
469,0.13,5.166825956869265
470,0.130625,5.14570019554079
471,0.130625,5.14570019554079
472,0.130625,5.14570019554079
473,0.130625,5.14570019554079
474,0.13125,5.14570019554079
475,0.131875,5.14570019554079
476,0.131875,5.14570019554079
477,0.133125,5.14570019554079
478,0.133125,5.14570019554079
479,0.13375,5.14570019554079
480,0.134375,5.14570019554079
481,0.134375,5.14570019554079
482,0.135,5.14570019554079
483,0.135,5.14570019554079
484,0.135,5.14570019554079
485,0.13625,5.14570019554079
486,0.13625,5.14570019554079
487,0.136875,5.14570019554079
488,0.136875,5.14570019554079
489,0.136875,5.14570019554079
490,0.138125,5.14570019554079
491,0.138125,5.14570019554079
492,0.138125,5.14570019554079
493,0.138125,5.14570019554079
494,0.138125,5.14570019554079
495,0.13875,5.14570019554079
496,0.139375,5.14570019554079
497,0.14,5.14570019554079
498,0.14,5.14570019554079
499,0.14,5.14570019554079
500,0.14,5.14570019554079
501,0.14125,5.14570019554079
502,0.141875,5.14570019554079
503,0.141875,5.14570019554079
504,0.1425,5.14570019554079
505,0.1425,5.14570019554079
506,0.1425,5.14570019554079
507,0.143125,5.14570019554079
508,0.143125,5.14570019554079
509,0.14375,5.14570019554079
510,0.144375,5.14570019554079
511,0.144375,5.14570019554079
512,0.144375,5.14570019554079
513,0.145,5.14570019554079
514,0.145,5.14570019554079
515,0.145,5.14570019554079
516,0.145625,5.14570019554079
517,0.145625,5.14570019554079
518,0.14625,5.14570019554079
519,0.14625,5.14570019554079
520,0.14625,5.14570019554079
521,0.14625,5.14570019554079
522,0.14625,5.14570019554079
523,0.14625,5.14570019554079
524,0.14625,5.14570019554079
525,0.14625,5.14570019554079
526,0.14625,5.14570019554079
527,0.14625,5.14570019554079
528,0.14625,5.148000561851679
529,0.14625,5.148000561851679
530,0.14625,5.103230714053605
531,0.146875,5.103230714053605
532,0.146875,5.103230714053605
533,0.146875,5.103230714053605
534,0.1475,5.103230714053605
535,0.1475,5.103230714053605
536,0.1475,5.103230714053605
537,0.148125,5.103230714053605
538,0.148125,5.103230714053605
539,0.148125,5.103230714053605
540,0.14875,5.103230714053605
541,0.149375,5.103230714053605
542,0.15,5.103230714053605
543,0.150625,5.103230714053605
544,0.150625,5.103230714053605
545,0.150625,5.103230714053605
546,0.15125,5.103230714053605
547,0.15125,5.103230714053605
548,0.15125,5.099376798727387
549,0.151875,5.099376798727387
550,0.1525,5.099376798727387
551,0.153125,5.099376798727387
552,0.153125,5.099376798727387
553,0.153125,5.099376798727387
554,0.153125,5.099376798727387
555,0.15375,5.099376798727387
556,0.15375,5.099376798727387
557,0.154375,5.099376798727387
558,0.155,5.099376798727387
559,0.155,5.099376798727387
560,0.155,5.097957988804086
561,0.155,5.097957988804086
562,0.15625,5.097957988804086
563,0.15625,5.097957988804086
564,0.156875,5.097957988804086
565,0.156875,5.097957988804086
566,0.1575,5.097957988804086
567,0.158125,5.097957988804086
568,0.15875,5.097957988804086
569,0.15875,5.097957988804086
570,0.15875,5.097957988804086
571,0.15875,5.097957988804086
572,0.15875,5.097957988804086
573,0.159375,5.096689872980879
574,0.16,5.096689872980879
575,0.160625,5.096689872980879
576,0.160625,5.096689872980879
577,0.16125,5.096689872980879
578,0.161875,5.096689872980879
579,0.161875,5.096689872980879
580,0.161875,5.096689872980879
581,0.1625,5.096689872980879
582,0.1625,5.096689872980879
583,0.1625,5.096689872980879
584,0.163125,5.09559662633358
585,0.163125,5.09559662633358
586,0.163125,5.09559662633358
587,0.163125,5.09559662633358
588,0.16375,5.09559662633358
589,0.165,5.09559662633358
590,0.165,5.09559662633358
591,0.165,5.09559662633358
592,0.165,5.09559662633358
593,0.165,5.09559662633358
594,0.165625,5.09559662633358
595,0.16625,5.09559662633358
596,0.16625,5.09559662633358
597,0.166875,5.09559662633358
598,0.166875,5.09559662633358
599,0.166875,5.09559662633358
600,0.1675,5.09559662633358
601,0.168125,5.09559662633358
602,0.16875,5.09559662633358
603,0.16875,5.09559662633358
604,0.16875,5.09559662633358
605,0.169375,5.0936403747349965
606,0.17,5.0936403747349965
607,0.170625,5.0936403747349965
608,0.170625,5.0936403747349965
609,0.170625,5.0936403747349965
610,0.170625,5.0936403747349965
611,0.170625,5.0936403747349965
612,0.170625,5.0936403747349965
613,0.171875,5.0936403747349965
614,0.1725,5.0936403747349965
615,0.1725,5.0936403747349965
616,0.1725,5.0936403747349965
617,0.1725,5.0936403747349965
618,0.1725,5.0936403747349965
619,0.1725,5.0936403747349965
620,0.173125,5.0936403747349965
621,0.17375,5.0936403747349965
622,0.17375,5.0936403747349965
623,0.174375,5.0936403747349965
624,0.174375,5.092848004933043
625,0.174375,5.092848004933043
626,0.174375,5.092848004933043
627,0.175,5.092848004933043
628,0.175625,5.092848004933043
629,0.175625,5.092848004933043
630,0.175625,5.092848004933043
631,0.175625,5.092848004933043
632,0.175625,5.092848004933043
633,0.175625,5.09242265435492
634,0.17625,5.09242265435492
635,0.17625,5.09242265435492
636,0.176875,5.09242265435492
637,0.176875,5.057786201148491
638,0.176875,5.057786201148491
639,0.176875,5.057786201148491
640,0.176875,5.057938430577882
641,0.176875,5.057938430577882
642,0.176875,5.057938430577882
643,0.176875,5.057938430577882
644,0.176875,5.057938430577882
645,0.176875,5.057938430577882
646,0.176875,5.057938430577882
647,0.1775,5.057938430577882
648,0.1775,5.057938430577882
649,0.1775,5.057938430577882
650,0.1775,5.057938430577882
651,0.1775,5.057938430577882
652,0.178125,5.057938430577882
653,0.17875,5.057938430577882
654,0.17875,5.057938430577882
655,0.17875,5.057938430577882
656,0.17875,5.057938430577882
657,0.17875,5.058665396032852
658,0.17875,5.058665396032852
659,0.179375,5.058665396032852
660,0.179375,5.058665396032852
661,0.179375,5.058665396032852
662,0.179375,5.058665396032852
663,0.179375,5.058665396032852
664,0.179375,5.058665396032852
665,0.179375,5.058665396032852
666,0.179375,5.058665396032852
667,0.18,5.058665396032852
668,0.18,5.060093293203287
669,0.18,5.060093293203287
670,0.18,5.060093293203287
671,0.18,5.060093293203287
672,0.18,5.060093293203287
673,0.180625,5.060093293203287
674,0.180625,5.060093293203287
675,0.18125,5.060093293203287
676,0.18125,5.060093293203287
677,0.18125,5.060093293203287
678,0.18125,5.060093293203287
679,0.18125,5.060093293203287
680,0.181875,5.060093293203287
681,0.1825,5.060093293203287
682,0.1825,5.060093293203287
683,0.1825,5.060093293203287
684,0.183125,5.060093293203287
685,0.183125,5.060093293203287
686,0.183125,5.060093293203287
687,0.18375,5.060093293203287
688,0.18375,5.060093293203287
689,0.18375,5.060093293203287
690,0.18375,5.060093293203287
691,0.18375,5.060093293203287
692,0.18375,5.060093293203287
693,0.18375,5.060093293203287
694,0.18375,5.060093293203287
695,0.18375,5.060093293203287
696,0.18375,5.060093293203287
697,0.184375,5.060093293203287
698,0.184375,5.068845716651363
699,0.184375,5.068845716651363
700,0.184375,5.068845716651363
701,0.184375,5.068845716651363
702,0.185,5.068845716651363
703,0.185625,5.068845716651363
704,0.185625,5.068845716651363
705,0.185625,5.068845716651363
706,0.185625,5.068845716651363
707,0.185625,5.068845716651363
708,0.185625,5.068845716651363
709,0.185625,5.068845716651363
710,0.185625,5.068845716651363
711,0.185625,5.018781933989395
712,0.185625,5.018781933989395
713,0.185625,5.018781933989395
714,0.185625,5.018781933989395
715,0.185625,5.018781933989395
716,0.185625,5.018781933989395
717,0.185625,5.022648725589544
718,0.185625,5.022648725589544
719,0.185625,5.022648725589544
720,0.185625,5.022648725589544
721,0.185625,5.022648725589544
722,0.18625,5.022648725589544
723,0.18625,5.022648725589544
724,0.18625,5.022648725589544
725,0.18625,5.022648725589544
726,0.18625,5.022648725589544
727,0.186875,5.022648725589544
728,0.186875,5.022648725589544
729,0.186875,5.022648725589544
730,0.186875,5.022648725589544
731,0.186875,5.022648725589544
732,0.186875,5.022648725589544
733,0.186875,5.022648725589544
734,0.186875,5.022648725589544
735,0.186875,5.022648725589544
736,0.186875,5.022648725589544
737,0.1875,5.022648725589544
738,0.1875,5.022648725589544
739,0.1875,5.022648725589544
740,0.1875,5.022648725589544
741,0.1875,5.022648725589544
742,0.1875,5.022648725589544
743,0.1875,5.022648725589544
744,0.1875,5.035113648420716
745,0.1875,5.035113648420716
746,0.1875,5.035113648420716
747,0.1875,5.035113648420716
748,0.1875,5.035113648420716
749,0.1875,5.035113648420716
750,0.1875,5.035113648420716
751,0.1875,4.743737223972855
752,0.1875,4.743737223972855
753,0.1875,4.743737223972855
754,0.1875,4.743737223972855
755,0.188125,4.743737223972855
756,0.18875,4.743737223972855
757,0.18875,4.743737223972855
758,0.18875,4.743737223972855
759,0.18875,4.743737223972855
760,0.18875,4.743737223972855
761,0.18875,4.743737223972855
762,0.18875,4.743737223972855
763,0.18875,4.743737223972855
764,0.189375,4.743737223972855
765,0.189375,4.743737223972855
766,0.189375,4.753769794022618
767,0.189375,4.753769794022618
768,0.19,4.753769794022618
769,0.19,4.753769794022618
770,0.19,4.65366212264802
771,0.190625,4.65366212264802
772,0.190625,4.65366212264802
773,0.190625,4.65366212264802
774,0.190625,4.65366212264802
775,0.19125,4.65366212264802
776,0.191875,4.65366212264802
777,0.191875,4.65366212264802
778,0.193125,4.65366212264802
779,0.193125,4.65366212264802
780,0.193125,4.65366212264802
781,0.19375,4.65366212264802
782,0.195,4.65366212264802
783,0.195,4.65366212264802
784,0.195,4.65366212264802
785,0.195,4.65366212264802
786,0.195,4.65366212264802
787,0.195,4.65366212264802
788,0.195,4.65366212264802
789,0.19625,4.65366212264802
790,0.19625,4.65366212264802
791,0.19625,4.65366212264802
792,0.196875,4.65366212264802
793,0.196875,4.65366212264802
794,0.196875,4.65366212264802
795,0.196875,4.65366212264802
796,0.196875,4.65366212264802
797,0.1975,4.65366212264802
798,0.19875,4.65366212264802
799,0.19875,4.65366212264802
800,0.19875,4.709630215268225
801,0.19875,4.709630215268225
802,0.2,4.709630215268225
803,0.200625,4.709630215268225
804,0.200625,4.709630215268225
805,0.20125,4.709630215268225
806,0.20125,4.709630215268225
807,0.20125,4.709630215268225
808,0.20125,4.709630215268225
809,0.20125,4.709630215268225
810,0.20125,4.709630215268225
811,0.201875,4.709630215268225
812,0.201875,4.709630215268225
813,0.2025,4.709630215268225
814,0.2025,4.709630215268225
815,0.2025,4.709630215268225
816,0.2025,4.709630215268225
817,0.2025,4.709630215268225
818,0.203125,4.688232211126901
819,0.20375,4.688232211126901
820,0.20375,4.688232211126901
821,0.20375,4.688232211126901
822,0.20375,4.688232211126901
823,0.20375,4.688232211126901
824,0.204375,4.688232211126901
825,0.204375,4.688232211126901
826,0.204375,4.688232211126901
827,0.204375,4.688232211126901
828,0.205,4.688232211126901
829,0.205625,4.688232211126901
830,0.205625,4.688232211126901
831,0.20625,4.688232211126901
832,0.20625,4.688232211126901
833,0.20625,4.688232211126901
834,0.20625,4.688232211126901
835,0.2075,4.688232211126901
836,0.2075,4.688232211126901
837,0.2075,4.688232211126901
838,0.208125,4.688232211126901
839,0.208125,4.688232211126901
840,0.20875,4.688232211126901
841,0.20875,4.688232211126901
842,0.20875,4.688232211126901
843,0.209375,4.688232211126901
844,0.209375,4.688232211126901
845,0.21,4.688232211126901
846,0.210625,4.688232211126901
847,0.210625,4.688232211126901
848,0.21125,4.688232211126901
849,0.21125,4.688232211126901
850,0.21125,4.688232211126901
851,0.211875,4.688232211126901
852,0.211875,4.688232211126901
853,0.211875,4.688232211126901
854,0.211875,4.688232211126901
855,0.211875,4.688232211126901
856,0.211875,4.688232211126901
857,0.211875,4.688232211126901
858,0.2125,4.688232211126901
859,0.2125,4.688232211126901
860,0.213125,4.688232211126901
861,0.213125,4.688232211126901
862,0.213125,4.688232211126901
863,0.21375,4.688232211126901
864,0.21375,4.688232211126901
865,0.214375,4.688232211126901
866,0.215,4.688232211126901
867,0.215,4.688232211126901
868,0.215,4.688232211126901
869,0.215,4.688232211126901
870,0.215,4.688232211126901
871,0.215625,4.688232211126901
872,0.215625,4.688232211126901
873,0.21625,4.688232211126901
874,0.21625,4.688232211126901
875,0.21625,4.688232211126901
876,0.21625,4.688232211126901
877,0.21625,4.688232211126901
878,0.2175,4.688232211126901
879,0.2175,4.688232211126901
880,0.2175,4.688232211126901
881,0.218125,4.688232211126901
882,0.218125,4.688232211126901
883,0.21875,4.688232211126901
884,0.21875,4.688232211126901
885,0.219375,4.688232211126901
886,0.22,4.688232211126901
887,0.22,4.688232211126901
888,0.22,4.688232211126901
889,0.22,4.688232211126901
890,0.220625,4.688232211126901
891,0.220625,4.688232211126901
892,0.220625,4.688232211126901
893,0.220625,4.688232211126901
894,0.221875,4.688232211126901
895,0.2225,4.688232211126901
896,0.223125,4.688232211126901
897,0.223125,4.688232211126901
898,0.223125,4.688232211126901
899,0.223125,4.688232211126901
900,0.223125,4.688232211126901
901,0.22375,4.688232211126901
902,0.22375,4.688232211126901
903,0.22375,4.688232211126901
904,0.22375,4.688232211126901
905,0.224375,4.688232211126901
906,0.224375,4.688232211126901
907,0.224375,4.688232211126901
908,0.224375,4.688232211126901
909,0.224375,4.688232211126901
910,0.225,4.688232211126901
911,0.225,4.688232211126901
912,0.225,4.688232211126901
913,0.225,4.727437037797318
914,0.225,4.727437037797318
915,0.225,4.727437037797318
916,0.225,4.753195126786068
917,0.225625,4.753195126786068
918,0.225625,4.753195126786068
919,0.22625,4.753195126786068
920,0.226875,4.753195126786068
921,0.226875,4.753195126786068
922,0.2275,4.753195126786068
923,0.2275,4.753195126786068
924,0.2275,4.753195126786068
925,0.2275,4.753195126786068
926,0.2275,4.753195126786068
927,0.228125,4.774818367272147
928,0.228125,4.774818367272147
929,0.22875,4.774818367272147
930,0.22875,4.774818367272147
931,0.22875,4.774818367272147
932,0.22875,4.774818367272147
933,0.22875,4.774818367272147
934,0.229375,4.774818367272147
935,0.23,4.774818367272147
936,0.23,4.774818367272147
937,0.23,4.774818367272147
938,0.23,4.774818367272147
939,0.23,4.774818367272147
940,0.230625,4.765451723545376
