# samples,smse,msll,nlpd,rmse,mae
38.00000000,0.73140239,-0.23470478,5.22314372,45.76109173,33.58767228
44.00000000,0.71364025,-0.24586792,5.20199369,45.20202167,33.08943448
56.00000000,0.67293371,-0.27107216,5.15040536,43.89391650,30.90803784
62.00000000,0.64887177,-0.30735025,5.12749454,43.10202047,30.38923530
66.00000000,0.49447735,-0.38812931,5.03217966,37.62628935,28.10564709
71.00000000,0.39717653,-0.47720955,4.96024572,33.72174024,25.85702686
76.00000000,0.33886642,-0.55463866,4.91851839,31.14816437,24.46263013
80.00000000,0.30800486,-0.61527412,4.88974632,29.69593313,23.58339148
92.00000000,0.25456163,-0.67027861,4.82498281,26.99694746,20.78048706
96.00000000,0.24876098,-0.67585515,4.81073848,26.68758746,20.38334302
103.00000000,0.22966665,-0.69438323,4.77779227,25.64290099,19.16882944
108.00000000,0.21888993,-0.70806517,4.74703782,25.03404817,18.27828499
113.00000000,0.21298819,-0.72029156,4.72173971,24.69425643,17.71340613
119.00000000,0.21109566,-0.73060760,4.69942220,24.58429970,17.44530936
129.00000000,0.20567702,-0.75383397,4.66205535,24.26671957,16.82527063
138.00000000,0.20340770,-0.77871683,4.62924986,24.13247593,16.61832494
141.00000000,0.20305282,-0.78694930,4.61911656,24.11141520,16.59746058
147.00000000,0.20276380,-0.80398949,4.59924491,24.09424907,16.48056375
153.00000000,0.20161383,-0.82574286,4.57565272,24.02582734,16.28913899
156.00000000,0.20030500,-0.83947252,4.56108240,23.94771519,16.07583602
161.00000000,0.20296236,-0.85350700,4.54634297,24.10604356,16.09953580
164.00000000,0.20489579,-0.86158752,4.53823347,24.22058948,16.14239545
170.00000000,0.20876912,-0.87799326,4.52242024,24.44844923,16.24446566
173.00000000,0.21065534,-0.88665213,4.51437551,24.55864650,16.28654352
174.00000000,0.21129849,-0.88945420,4.51181657,24.59610766,16.30281016
179.00000000,0.21466367,-0.90384091,4.49894168,24.79119505,16.40093287
181.00000000,0.21601412,-0.91006581,4.49348556,24.86905394,16.42564936
187.00000000,0.21996809,-0.93032461,4.47566549,25.09562571,16.50235106
191.00000000,0.22223035,-0.94496402,4.46295066,25.22434337,16.55010357
198.00000000,0.22479279,-0.97061197,4.44087113,25.36935230,16.64117723
199.00000000,0.22502663,-0.97419025,4.43798004,25.38254381,16.65613210
200.00000000,0.22521389,-0.97781935,4.43504330,25.39310319,16.67300572
202.00000000,0.22543366,-0.98549250,4.42867953,25.40548943,16.70836208
210.00000000,0.22530887,-1.01647078,4.40291726,25.39845686,16.82753275
216.00000000,0.23020145,-1.04724086,4.37686832,25.67273979,16.99734820
229.00000000,0.23250499,-1.07976293,4.35230890,25.80086853,16.90322824
