# samples,smse,msll,nlpd,rmse,mae
52.00000000,0.52242680,-0.40898240,5.05987365,38.67505250,27.52289553
59.00000000,0.50146257,-0.45839689,5.02924966,37.89112072,26.45792363
66.00000000,0.49416324,-0.50370668,5.01165566,37.61433663,26.17884975
71.00000000,0.49025563,-0.54419768,5.00057885,37.46532324,26.01337001
72.00000000,0.48903743,-0.55332606,4.99823476,37.41874691,25.96372578
77.00000000,0.47608012,-0.59297061,4.98080891,36.91970433,25.52143324
86.00000000,0.45195156,-0.66170588,4.94404606,35.97196265,24.31859136
106.00000000,0.40251300,-0.84945606,4.86636082,33.94752737,21.90843658
111.00000000,0.39846292,-0.88759217,4.85948431,33.77630578,21.71828733
122.00000000,0.38993104,-0.96709099,4.84789036,33.41274012,21.49811324
125.00000000,0.38768545,-0.98977884,4.84629084,33.31639013,21.37751226
130.00000000,0.38333831,-1.02359145,4.84324731,33.12907425,21.15208370
133.00000000,0.38043931,-1.04020483,4.84062390,33.00356726,20.92770458
139.00000000,0.37857348,-1.07176052,4.84471560,32.92253634,20.75089008
152.00000000,0.37481245,-1.15463891,4.85313482,32.75858953,20.58819167
163.00000000,0.37392647,-1.22511503,4.85808873,32.71984920,20.48101611
164.00000000,0.37381425,-1.22219590,4.85749228,32.71493928,20.47016994
183.00000000,0.36505728,-1.19131969,4.76127400,32.32947826,19.87393210
191.00000000,0.36815886,-1.19769774,4.73600630,32.46652600,19.88490711
202.00000000,0.37162041,-1.26608725,4.72258339,32.61879910,19.95476971
213.00000000,0.37953976,-1.32820299,4.71487186,32.96452552,20.13522186
232.00000000,0.38901271,-1.46802061,4.66705863,33.37337160,20.01818066
242.00000000,0.38961083,-1.53116444,4.65882309,33.39901807,20.01925657
255.00000000,0.35384933,-1.64651393,4.59217398,31.82932130,19.02637954
258.00000000,0.35132158,-1.59753638,4.58965551,31.71542992,18.93026178
260.00000000,0.34639960,-1.62531948,4.56992808,31.49248114,18.72507182
266.00000000,0.35549845,-1.67788670,4.53221282,31.90340569,18.85851677
275.00000000,0.34371211,-1.74128857,4.48877940,31.37007879,18.42365524
284.00000000,0.34034618,-1.67678371,4.48432001,31.21609883,18.24699021
290.00000000,0.29395415,-1.43430728,4.38704795,29.01068530,16.97968087
300.00000000,0.28991873,-1.35790300,4.38728659,28.81086676,16.75735323
305.00000000,0.25970545,-1.33140528,4.36626088,27.26834147,15.98169920
311.00000000,0.22851737,-1.23429262,4.30623689,25.57866069,15.03191669
314.00000000,0.23265894,-1.20031778,4.30955864,25.80940918,15.12900016
325.00000000,0.22232190,-1.19260658,4.31109558,25.22953878,14.78346687
342.00000000,0.21438931,-1.21848453,4.29888889,24.77534760,14.55206200
351.00000000,0.20640610,-1.22945866,4.29819071,24.30969181,14.35763904
353.00000000,0.20605648,-1.23499652,4.29441080,24.28909494,14.34635912
370.00000000,0.19408838,-1.22895108,4.26747913,23.57316825,13.94311245
379.00000000,0.19495485,-1.23271364,4.23356347,23.62572850,13.88244762
390.00000000,0.19218657,-1.23625772,4.22496020,23.45739108,13.79775821
