# samples,smse,msll,nlpd,rmse,mae
33.00000000,0.76065769,-0.17900360,5.27493540,46.66731567,33.42182375
48.00000000,0.73068579,-0.38277779,5.22395503,45.73866887,31.27274626
56.00000000,0.72486668,-0.49333622,5.20502191,45.55617549,30.99237695
60.00000000,0.71889114,-0.48481775,5.19323036,45.36801269,30.78795811
64.00000000,0.71611409,-0.42105345,5.18277922,45.28030032,30.66781060
67.00000000,0.71605797,-0.41810648,5.17721843,45.27852606,30.61107612
70.00000000,0.71469725,-0.40870269,5.17211575,45.23548427,30.56125442
73.00000000,0.71536718,-0.36832670,5.16880235,45.25668041,30.56381046
76.00000000,0.71153590,-0.28411170,5.16201416,45.13532755,30.39856505
79.00000000,0.70916662,-0.25509272,5.15627448,45.06011892,30.30979254
82.00000000,0.70733476,-0.26006881,5.15183080,45.00188330,30.20695880
95.00000000,0.70306398,-0.28462027,5.13975805,44.86582040,29.97108916
99.00000000,0.70224006,-0.29173684,5.13771070,44.83952359,29.89952457
101.00000000,0.70110959,-0.29562464,5.13643781,44.80341773,29.86260696
104.00000000,0.70013421,-0.30164108,5.13557795,44.77224151,29.82044655
107.00000000,0.69970513,-0.30814427,5.13510422,44.75851998,29.79075447
109.00000000,0.69893869,-0.31308804,5.13466656,44.73399978,29.75916601
110.00000000,0.69844681,-0.31550955,5.13446102,44.71825603,29.74235070
112.00000000,0.69803341,-0.32019948,5.13449105,44.70502001,29.71645057
114.00000000,0.69785263,-0.32404416,5.13485781,44.69923063,29.69140941
115.00000000,0.69783253,-0.32563409,5.13517601,44.69858701,29.67972647
117.00000000,0.69740837,-0.32997497,5.13553613,44.68500035,29.65496071
119.00000000,0.69713444,-0.33343706,5.13617619,44.67622392,29.63366879
120.00000000,0.69717387,-0.33412388,5.13676775,44.67748716,29.63277746
121.00000000,0.69702706,-0.33578181,5.13714214,44.67278296,29.62499295
122.00000000,0.69683337,-0.33770522,5.13747272,44.66657558,29.61492725
123.00000000,0.69662593,-0.33967316,5.13779823,44.65992688,29.60418792
124.00000000,0.69641811,-0.34154232,5.13813403,44.65326474,29.59363262
